Page URL,Page Title,ILR,Raw ILR,Unique Pageviews,Crawl Depth,HTTP Status Code,"Page (HTML) Load Time, sec",Schema.org (Microdata),Schema.org (JSON-LD),Open Graph,Twitter Cards,Microformats,Canonicalization,In sitemap,Incoming Internal Links,Outgoing Internal Links,Outgoing External Links,AMP link,Hreflang Links,Hreflang Issues,JS and CSS Number,"JS and CSS Size, KB",Issues,Description,Blocked AI search bots
https://dienmayelc.com.vn/,"Điện máy ELC - Siêu thị máy lạnh & Giải pháp không khí chính hãng, giá tốt",100,0.009593257636439041,n/a,0,200,0.08,0,1,1,1,0,Self-canonical,0,95,105,4,0,-,-,30,452,5,"điện máy elc - hệ thống cung cấp máy lạnh chính hãng, máy lọc không khí và giải pháp điều hòa trung tâm vrv/vrf. cam kết giá rẻ nhất thị trường, lắp đặt chuyên nghiệp, bảo hành dài hạn.",Google-Extended
https://dienmayelc.com.vn/cdn-cgi/l/email-protection,,-,0.009583822843742613,n/a,1,404,0.006,0,0,0,0,0,-,0,94,0,0,0,-,-,0,0,1,-,Google-Extended
https://dienmayelc.com.vn/chinh-sach-bao-hanh-san-pham,Chính sách bảo hành sản phẩm | Điện máy ELC,48,0.009529751717089112,n/a,1,200,1.513,0,1,1,1,0,Canonical to other page,1,93,86,4,0,-,-,25,402,2,chính sách bảo hành sản phẩm,Google-Extended
https://dienmayelc.com.vn/chinh-sach-doi-tra-va-hoan-tien,Chính sách đổi trả và hoàn tiền | Điện máy ELC,52,0.009530342492660063,n/a,1,200,1.515,0,1,1,1,0,Canonical to other page,1,93,87,4,0,-,-,25,402,3,chính sách đổi trả và hoàn tiền,Google-Extended
https://dienmayelc.com.vn/dich-vu,Dịch vụ chuyên nghiệp | Điện máy ELC,48,0.009529751717089112,n/a,1,200,1.415,0,1,1,1,0,Canonical to other page,1,93,86,4,0,-,-,34,544,2,"giải pháp chuyên nghiệp dành cho hệ thống lạnh công nghiệp, điều hòa trung tâm và bảo trì hệ thống.",Google-Extended
https://dienmayelc.com.vn/du-an,Dự án Thi công lắp đặt máy lạnh & hệ thống HVAC | Điện máy ELC,61,0.009531486143394406,n/a,1,200,2.076,0,1,1,1,0,Self-canonical,1,93,89,4,0,-,-,28,424,2,"tổng hợp các dự án, công trình thi công lắp đặt máy lạnh, hệ thống điều hòa không khí trung tâm vrv/vrf và hvac tiêu biểu do điện máy elc thực hiện toàn quốc.",Google-Extended
https://dienmayelc.com.vn/du-an/biet-thu,Giải pháp điều hòa và nhà thông minh cho biệt thự | Điện máy ELC,57,0.009530920498221091,n/a,1,200,1.809,0,1,1,1,0,Self-canonical,1,93,88,4,0,-,-,28,424,2,"tích hợp điều hòa không khí, cấp khí tươi và smart home mang đến không gian sống tiện nghi, hiện đại và đẳng cấp..",Google-Extended
https://dienmayelc.com.vn/du-an/co-so-kinh-doanh,Giải pháp điều hòa cho cửa hàng và cơ sở kinh doanh | Điện máy ELC,65,0.009532039820468317,n/a,1,200,3.35,0,1,1,1,0,Self-canonical,1,93,90,4,0,-,-,28,424,3,"thiết kế hệ thống điều hòa không khí phù hợp từng mô hình kinh doanh, tối ưu chi phí vận hành và trải nghiệm khách hàng.",Google-Extended
https://dienmayelc.com.vn/du-an/cong-trinh-cong-nghiep,Giải pháp điều hòa và thông gió cho công trình công nghiệp | Điện máy ELC,61,0.009531486143394406,n/a,1,200,1.509,0,1,1,1,0,Self-canonical,1,93,89,4,0,-,-,28,424,2,"hệ thống hvac, thông gió và cấp khí tươi cho nhà máy, xưởng sản xuất, đảm bảo môi trường làm việc ổn định.",Google-Extended
https://dienmayelc.com.vn/du-an/dien-may-elc-hoan-thanh-he-thong-dieu-hoa-am-tran-cassette-cho-nha-hang-tai-phu-quoc-kien-giang,ELC Thi Công Điều Hòa Âm Trần Cassette Cho Nhà Hàng Phú Quốc | Điện máy ELC,48,0.009529751717089112,n/a,1,200,2.028,0,1,1,1,0,Self-canonical,1,93,86,4,0,-,-,28,424,18,"dự án elc thi công hệ thống điều hòa âm trần cassette cho nhà hàng tại phú quốc, tối ưu hiệu quả làm mát và nâng cao trải nghiệm khách hàng.",Google-Extended
